<<,Price
^,1544616000,4.234706
^,1544544000,4.240000
^,1544457600,4.100000
^,1544198400,4.320000
^,1544112000,4.270000
^,1544025600,4.300000
^,1543939200,4.290000
^,1543852800,4.370000
^,1543593600,4.340000
^,1543507200,4.340000
^,1543420800,4.370000
^,1543334400,4.390000
^,1543248000,4.350000
^,1542988800,4.340000
^,1542902400,4.430000
^,1542816000,4.350000
^,1542729600,4.470000
^,1542643200,4.490000
^,1542384000,4.530000
^,1542297600,4.520000
^,1542211200,4.480000
^,1542124800,4.570000
^,1542038400,4.550000
^,1541779200,4.580000
^,1541692800,4.590000
^,1541606400,4.590000
^,1541520000,4.540000
^,1541433600,4.510000
^,1541174400,4.510000
^,1541088000,4.500000
^,1541001600,4.500000
^,1540915200,4.530000
^,1540828800,4.490000
^,1540569600,4.490000
^,1540483200,4.490000
^,1540396800,4.560000
^,1540310400,4.600000
^,1540224000,4.620000
^,1539964800,4.680000
^,1539878400,4.580000
^,1539792000,4.640000
^,1539705600,4.580000
^,1539619200,4.580000
^,1539360000,4.590000
^,1539273600,4.590000
^,1539187200,4.650000
^,1539100800,4.680000
^,1539014400,4.710000
^,1538755200,4.720000
^,1538668800,4.700000
^,1538582400,4.700000
^,1538496000,4.720000
^,1538409600,4.740000
^,1538150400,4.710000
^,1538064000,4.700000
^,1537891200,4.750000
^,1537804800,4.700000
^,1537545600,4.720000
^,1537459200,4.670000
^,1537372800,4.670000
^,1537286400,4.660000
^,1537200000,4.700000
^,1536940800,4.670000
^,1536854400,4.720000
^,1536768000,4.700000
^,1536681600,4.650000
^,1536595200,4.630000
^,1536336000,4.670000
^,1536249600,4.760000
^,1536163200,4.700000
^,1536076800,4.760000
^,1535990400,4.770000
^,1535731200,4.780000
^,1535644800,4.760000
^,1535558400,4.780000
^,1535472000,4.770000
^,1535385600,4.710000
^,1535126400,4.670000
^,1535040000,4.780000
^,1534953600,4.700000
^,1534867200,4.750000
^,1534780800,4.790000
^,1534521600,4.700000
^,1534435200,4.790000
^,1534348800,4.720000
^,1534262400,4.650000
^,1534176000,4.620000
^,1533916800,4.610000
^,1533830400,4.660000
^,1533744000,4.620000
^,1533657600,4.600000
^,1533571200,4.600000
^,1533312000,4.650000
^,1533225600,4.650000
^,1533139200,4.650000
^,1533052800,4.650000
^,1532966400,4.630000
^,1532707200,4.640000
^,1532620800,4.650000
^,1532606400,4.605321
^,1532534400,4.630000
^,1532448000,4.590000
^,1532361600,4.630000
^,1532102400,4.640000
^,1532016000,4.600000
^,1531929600,4.600000
^,1531843200,4.590000
^,1531756800,4.590000
^,1531497600,4.620000
^,1531411200,4.600000
^,1531324800,4.590000
^,1531238400,4.620000
^,1531152000,4.620000
^,1530892800,4.570000
^,1530806400,4.540000
^,1530720000,4.580000
^,1530633600,4.550000
^,1530547200,4.590000
^,1530288000,4.540000
^,1530201600,4.550000
^,1530115200,4.540000
^,1530028800,4.530000
^,1529942400,4.590000
^,1529683200,4.600000
^,1529596800,4.590000
^,1529510400,4.600000
^,1529424000,4.500000
^,1529337600,4.510000
^,1529078400,4.500000
^,1528992000,4.450000
^,1528905600,4.460000
^,1528819200,4.460000
^,1528804800,4.364241
^,1528473600,4.500000
^,1528387200,4.500000
^,1528300800,4.460000
^,1528214400,4.460000
^,1528128000,4.510000
^,1527868800,4.600000
^,1527782400,4.480000
^,1527696000,4.690000
^,1527609600,4.460000
^,1527523200,4.450000
^,1527264000,4.430000
^,1527177600,4.440000
^,1527091200,4.530000
^,1527004800,4.660000
^,1526918400,4.650000
^,1526659200,4.590000
^,1526572800,4.680000
^,1526486400,4.660000
^,1526400000,4.680000
^,1526313600,4.700000
^,1526054400,4.640000
^,1525968000,4.620000
^,1525881600,4.580000
^,1525795200,4.560000
^,1525708800,4.580000
^,1525449600,4.580000
^,1525363200,4.590000
^,1525276800,4.580000
^,1525190400,4.560000
^,1525104000,4.540000
^,1524844800,4.500000
^,1524758400,4.480000
^,1524585600,4.560000
^,1524499200,4.560000
^,1524240000,4.520000
^,1524153600,4.550000
^,1524067200,4.540000
^,1523980800,4.510000
^,1523894400,4.510000
^,1523635200,4.530000
^,1523548800,4.560000
^,1523462400,4.550000
^,1523376000,4.530000
^,1523289600,4.570000
^,1523030400,4.570000
^,1522944000,4.530000
^,1522857600,4.510000
^,1522771200,4.550000
^,1522339200,4.600000
^,1522252800,4.550000
^,1522166400,4.610000
^,1522080000,4.580000
^,1521820800,4.600000
^,1521734400,4.610000
^,1521648000,4.640000
^,1521561600,4.670000
^,1521475200,4.700000
^,1521216000,4.670000
^,1521129600,4.650000
^,1521043200,4.660000
^,1520956800,4.690000
^,1520870400,4.610000
^,1520611200,4.640000
^,1520524800,4.600000
^,1520438400,4.620000
^,1520352000,4.630000
^,1520265600,4.590000
^,1520006400,4.580000
^,1519920000,4.600000
^,1519833600,4.680000
^,1519747200,4.730000
^,1519660800,4.700000
^,1519401600,4.680000
